"","i","sampno","V1","chain"
"233",6,3700,4,1
"234",6,3800,4,1
"235",6,3900,4,1
"236",6,4000,5,1
"237",6,4100,6,1
"238",6,4200,5,1
"239",6,4300,4,1
"240",6,4400,4,1
"241",6,4500,5,1
"242",6,4600,4,1
"243",6,4700,5,1
"244",6,4800,5,1
"245",6,4900,4,1
"246",6,5000,4,1
"247",7,1000,14,1
"248",7,1100,13,1
"249",7,1200,12,1
"250",7,1300,12,1
"251",7,1400,12,1
"252",7,1500,12,1
"253",7,1600,12,1
"254",7,1700,12,1
"255",7,1800,12,1
"256",7,1900,12,1
"257",7,2000,13,1
"258",7,2100,12,1
"259",7,2200,12,1
"260",7,2300,12,1
"261",7,2400,9,1
"262",7,2500,10,1
"263",7,2600,9,1
"264",7,2700,8,1
"265",7,2800,10,1
"266",7,2900,9,1
"267",7,3000,9,1
"268",7,3100,8,1
"269",7,3200,9,1
"270",7,3300,9,1
"271",7,3400,9,1
"272",7,3500,9,1
"273",7,3600,9,1
"274",7,3700,10,1
"275",7,3800,12,1
"276",7,3900,12,1
"277",7,4000,11,1
"278",7,4100,11,1
"279",7,4200,11,1
"280",7,4300,12,1
"281",7,4400,11,1
"282",7,4500,12,1
"283",7,4600,12,1
"284",7,4700,12,1
"285",7,4800,12,1
"286",7,4900,11,1
"287",7,5000,12,1
"288",8,1000,13,1
"289",8,1100,15,1
"290",8,1200,14,1
"291",8,1300,17,1
"292",8,1400,16,1
"293",8,1500,13,1
"294",8,1600,11,1
"295",8,1700,11,1
"296",8,1800,11,1
"297",8,1900,11,1
"298",8,2000,10,1
"299",8,2100,12,1
"300",8,2200,11,1
"301",8,2300,11,1
"302",8,2400,10,1
"303",8,2500,9,1
"304",8,2600,9,1
"305",8,2700,8,1
"306",8,2800,9,1
"307",8,2900,9,1
"308",8,3000,9,1
"309",8,3100,9,1
"310",8,3200,9,1
"311",8,3300,9,1
"312",8,3400,9,1
"313",8,3500,9,1
"314",8,3600,9,1
"315",8,3700,9,1
"316",8,3800,10,1
"317",8,3900,9,1
"318",8,4000,9,1
"319",8,4100,9,1
"320",8,4200,9,1
"321",8,4300,9,1
"322",8,4400,8,1
"323",8,4500,9,1
"324",8,4600,9,1
"325",8,4700,8,1
"326",8,4800,9,1
"327",8,4900,9,1
"328",8,5000,9,1
"329",9,1000,8,1
"330",9,1100,7,1
"331",9,1200,9,1
"332",9,1300,8,1
"333",9,1400,8,1
"334",9,1500,8,1
"335",9,1600,11,1
"336",9,1700,11,1
"337",9,1800,11,1
"338",9,1900,11,1
"339",9,2000,8,1
"340",9,2100,8,1
"341",9,2200,8,1
"342",9,2300,8,1
"343",9,2400,8,1
"344",9,2500,8,1
"345",9,2600,8,1
"346",9,2700,7,1
"347",9,2800,7,1
"348",9,2900,7,1
"349",9,3000,7,1
"350",9,3100,7,1
"351",9,3200,7,1
"352",9,3300,7,1
"353",9,3400,7,1
"354",9,3500,7,1
"355",9,3600,7,1
"356",9,3700,7,1
"357",9,3800,7,1
"358",9,3900,7,1
"359",9,4000,7,1
"360",9,4100,7,1
"361",9,4200,7,1
"362",9,4300,7,1
"363",9,4400,7,1
"364",9,4500,7,1
"365",9,4600,7,1
"366",9,4700,7,1
"367",9,4800,7,1
"368",9,4900,7,1
"369",9,5000,7,1
"370",10,1000,4,1
"371",10,1100,5,1
"372",10,1200,5,1
"373",10,1300,4,1
"374",10,1400,1,1
"375",10,1500,1,1
"376",10,1600,1,1
"377",10,1700,1,1
"378",10,1800,1,1
"379",10,1900,1,1
"380",10,2000,1,1
"381",10,2100,1,1
"382",10,2200,1,1
"383",10,2300,1,1
"384",10,2400,1,1
"385",10,2500,1,1
"386",10,2600,1,1
