"","x"
"1",9
"2",14
"3",3
"4",7
"5",7
"6",6
"7",9
"8",5
"9",2
"10",1
"11",5
"12",3
"13",4
"14",3
"15",3
"16",3
"17",1
"18",8
"19",10
"20",9
"21",10
"22",4
"23",2
"24",4
"25",7
"26",9
"27",3
"28",9
"29",2
"30",7
"31",13
"32",4
"33",2
"34",3
"35",7
"36",6
"37",5
"38",6
"39",5
"40",8
"41",4
"42",2
"43",2
"44",4
"45",2
"46",6
"47",2
"48",2
"49",3
"50",6
"51",5
"52",10
"53",10
"54",2
"55",2
"56",6
"57",4
"58",1
"59",4
"60",2
"61",5
"62",5
"63",3
"64",11
"65",3
"66",8
"67",5
"68",4
"69",5
"70",9
"71",14
"72",2
"73",6
"74",10
"75",10
"76",10
"77",6
"78",2
"79",2
"80",5
"81",3
"82",3
"83",2
"84",4
"85",2
"86",2
"87",8
"88",11
"89",9
"90",9
"91",2
"92",3
"93",7
"94",6
"95",8
"96",3
"97",9
"98",2
"99",10
"100",14
"101",3
"102",1
"103",1
"104",6
"105",6
"106",4
"107",5
"108",4
"109",8
"110",5
"111",2
"112",2
"113",6
"114",3
"115",7
"116",1
"117",2
"118",3
"119",8
"120",4
"121",10
"122",9
"123",4
"124",2
"125",4
"126",4
"127",2
"128",4
"129",1
"130",5
"131",6
"132",4
"133",11
"134",3
"135",8
"136",5
"137",2
"138",5
"139",10
"140",15
"141",3
"142",8
"143",9
"144",8
"145",8
"146",8
"147",2
"148",2
"149",4
"150",3
"151",3
"152",2
"153",5
"154",3
"155",2
"156",8
"157",11
"158",8
"159",8
"160",2
"161",4
"162",7
"163",6
"164",7
"165",2
"166",10
"167",1
"168",9
"169",12
"170",3
"171",4
"172",0
"173",5
"174",8
"175",4
"176",6
"177",4
"178",7
"179",4
"180",2
"181",1
"182",5
"183",3
"184",7
"185",2
"186",1
"187",3
"188",9
"189",5
"190",11
"191",8
"192",5
"193",1
"194",6
"195",4
"196",2
"197",4
"198",3
"199",7
"200",6
"201",5
"202",12
"203",3
"204",6
"205",5
"206",1
"207",6
"208",9
"209",15
"210",3
"211",7
"212",8
"213",9
"214",7
"215",8
"216",2
"217",3
"218",4
"219",3
"220",3
"221",3
"222",4
"223",4
"224",0
"225",9
"226",10
"227",7
"228",7
"229",1
"230",4
"231",9
"232",6
"233",7
"234",3
"235",9
"236",1
"237",8
"238",10
"239",3
"240",3
"241",3
"242",3
"243",8
"244",6
"245",8
"246",7
"247",7
"248",7
"249",3
"250",1
"251",6
"252",3
"253",8
"254",1
"255",2
"256",3
"257",10
"258",6
"259",10
"260",9
"261",4
"262",3
"263",5
"264",4
"265",3
"266",6
"267",3
"268",7
"269",9
"270",5
"271",11
"272",7
"273",6
"274",4
"275",4
"276",7
"277",7
"278",15
"279",4
"280",11
"281",9
"282",9
"283",8
"284",8
"285",1
"286",4
"287",4
"288",2
"289",3
"290",1
"291",4
"292",2
"293",2
"294",9
"295",12
"296",5
"297",5
"298",4
"299",3
"300",8
"301",5
"302",7
"303",2
"304",9
"305",2
"306",7
"307",12
"308",4
"309",3
"310",3
"311",7
"312",8
"313",5
"314",9
"315",7
"316",6
"317",7
"318",5
"319",2
"320",7
"321",2
"322",4
"323",1
"324",2
"325",5
"326",10
"327",7
"328",10
"329",8
"330",6
"331",2
"332",6
"333",2
"334",4
"335",6
"336",5
"337",7
"338",6
"339",7
"340",9
"341",7
"342",6
"343",4
"344",6
"345",8
"346",9
"347",15
"348",3
"349",13
"350",10
"351",13
"352",7
"353",6
"354",1
"355",6
"356",2
"357",2
"358",3
"359",3
"360",4
"361",4
"362",1
"363",10
"364",11
"365",4
"366",3
"367",2
"368",4
"369",8
"370",5
"371",6
"372",1
"373",8
"374",2
"375",7
"376",11
"377",2
"378",3
"379",1
"380",5
"381",11
"382",5
"383",9
"384",6
"385",5
"386",11
"387",5
"388",1
"389",5
"390",1
"391",2
"392",3
"393",2
"394",6
"395",9
"396",8
"397",9
"398",8
"399",6
"400",4
"401",6
"402",2
"403",5
"404",6
"405",5
"406",6
"407",7
"408",10
"409",8
"410",6
"411",8
"412",3
"413",6
"414",7
"415",8
"416",14
"417",3
"418",14
"419",8
"420",12
"421",10
"422",7
"423",1
"424",5
"425",3
"426",1
"427",5
"428",2
"429",4
"430",4
"431",2
"432",10
"433",11
"434",3
"435",3
"436",2
"437",5
"438",6
"439",2
"440",7
"441",3
"442",8
"443",1
"444",8
"445",11
"446",6
"447",2
"448",3
"449",7
"450",12
"451",5
"452",8
"453",8
"454",7
"455",11
"456",5
"457",3
"458",5
"459",3
"460",4
"461",4
"462",2
"463",4
"464",9
"465",8
"466",8
"467",9
"468",5
"469",2
"470",4
"471",2
"472",6
"473",4
"474",6
"475",5
"476",7
"477",9
"478",7
"479",6
"480",9
"481",2
"482",6
"483",6
"484",7
"485",15
"486",2
"487",13
"488",10
"489",13
"490",12
"491",6
"492",1
"493",4
"494",4
"495",0
"496",6
"497",3
"498",5
"499",7
"500",4
"501",10
"502",11
"503",3
"504",3
"505",2
"506",3
"507",6
"508",4
"509",7
"510",1
"511",7
"512",1
"513",10
"514",10
"515",4
"516",1
"517",2
"518",2
"519",11
"520",5
"521",5
"522",6
"523",8
"524",10
"525",6
"526",2
"527",6
"528",3
"529",5
"530",5
"531",2
"532",3
"533",9
"534",7
"535",9
"536",9
"537",7
"538",4
"539",5
"540",4
"541",7
"542",4
"543",4
"544",7
"545",8
"546",6
"547",8
"548",5
"549",7
"550",1
"551",6
"552",6
"553",7
"554",16
"555",1
"556",12
"557",8
"558",16
"559",10
"560",5
"561",1
"562",5
"563",2
"564",0
"565",9
"566",6
"567",8
"568",9
"569",4
"570",10
"571",11
"572",5
"573",3
"574",2
"575",2
"576",6
"577",6
"578",6
"579",2
"580",9
"581",2
"582",13
"583",11
"584",6
"585",3
"586",1
"587",3
"588",9
"589",5
"590",4
"591",5
"592",6
"593",15
"594",4
"595",1
"596",6
"597",2
"598",6
"599",4
"600",3
"601",5
"602",10
"603",7
"604",9
"605",9
"606",4
"607",2
"608",6
"609",5
"610",10
"611",3
"612",3
"613",6
"614",7
"615",7
"616",9
"617",4
"618",9
"619",3
"620",4
"621",4
"622",9
"623",17
"624",2
"625",11
"626",7
"627",14
"628",11
"629",5
"630",2
"631",6
"632",4
"633",2
"634",10
"635",3
"636",8
"637",9
"638",2
"639",7
"640",12
"641",5
"642",3
"643",2
"644",3
"645",6
"646",3
"647",6
"648",3
"649",9
"650",2
"651",14
"652",11
"653",5
"654",5
"655",1
"656",2
"657",8
"658",5
"659",4
"660",4
"661",7
"662",14
"663",5
"664",2
"665",4
"666",1
"667",6
"668",5
"669",6
"670",5
"671",13
"672",6
"673",8
"674",9
"675",2
"676",3
"677",4
"678",5
"679",11
"680",6
"681",5
"682",5
"683",5
"684",7
"685",6
"686",3
"687",7
"688",3
"689",5
"690",4
"691",11
"692",12
"693",1
"694",10
"695",7
"696",10
"697",13
"698",8
"699",1
"700",5
"701",4
"702",2
"703",11
"704",1
"705",8
"706",10
"707",1
"708",9
"709",11
"710",4
"711",3
"712",2
"713",2
"714",5
"715",2
"716",7
"717",2
"718",9
"719",4
"720",13
"721",12
"722",5
"723",6
"724",2
"725",1
"726",8
"727",5
"728",4
"729",5
"730",7
"731",14
"732",5
"733",2
"734",6
"735",1
"736",6
"737",5
"738",5
"739",3
"740",14
"741",6
"742",9
"743",10
"744",2
"745",4
"746",3
"747",5
"748",12
"749",6
"750",6
"751",6
"752",6
"753",8
"754",6
"755",3
"756",6
"757",3
"758",1
"759",4
"760",13
"761",11
"762",2
"763",8
"764",5
"765",10
"766",11
"767",5
"768",2
"769",4
"770",5
"771",2
"772",10
"773",0
"774",5
"775",8
"776",3
"777",10
"778",10
"779",5
"780",1
"781",3
"782",2
"783",4
"784",1
"785",9
"786",2
"787",8
"788",5
"789",13
"790",13
"791",3
"792",7
"793",2
"794",2
"795",10
"796",6
"797",6
"798",3
"799",6
"800",12
"801",6
"802",4
"803",6
"804",2
"805",5
"806",5
"807",5
"808",3
"809",14
"810",5
"811",8
"812",10
"813",1
"814",5
"815",2
"816",3
"817",15
"818",6
"819",6
"820",7
"821",6
"822",8
"823",5
"824",5
"825",7
"826",1
"827",2
"828",6
"829",13
"830",11
"831",2
"832",8
"833",6
"834",10
"835",13
"836",4
"837",2
"838",4
"839",6
"840",2
"841",9
"842",1
"843",4
"844",9
"845",5
"846",13
"847",10
"848",4
"849",2
"850",2
"851",3
"852",4
"853",0
"854",9
"855",2
"856",11
"857",1
"858",10
"859",11
"860",2
"861",7
"862",2
"863",5
"864",12
"865",7
"866",5
"867",1
"868",8
"869",10
"870",4
"871",6
"872",9
"873",3
"874",6
"875",5
"876",3
"877",4
"878",16
"879",3
"880",9
"881",11
"882",1
"883",4
"884",4
"885",3
"886",16
"887",5
"888",6
"889",7
"890",8
"891",9
"892",4
"893",4
"894",3
"895",2
"896",2
"897",6
"898",14
"899",11
"900",2
"901",8
"902",4
"903",11
"904",14
"905",5
"906",3
"907",4
"908",6
"909",3
"910",7
"911",4
"912",6
"913",8
"914",4
"915",12
"916",10
"917",5
"918",3
"919",2
"920",3
"921",5
"922",0
"923",8
"924",2
"925",13
"926",1
"927",11
"928",12
"929",7
"930",7
"931",1
"932",4
"933",14
"934",7
"935",4
"936",2
"937",8
"938",10
"939",2
"940",8
"941",8
"942",3
"943",8
"944",5
"945",1
"946",6
"947",17
"948",2
"949",7
"950",11
"951",2
"952",4
"953",8
"954",3
"955",16
"956",5
"957",6
"958",5
"959",10
"960",9
"961",7
"962",2
"963",2
"964",2
"965",2
"966",5
"967",15
"968",10
"969",3
"970",9
"971",2
"972",15
"973",13
"974",7
"975",3
"976",7
"977",7
"978",5
"979",7
"980",4
"981",6
"982",10
"983",3
"984",11
"985",10
"986",5
"987",4
"988",2
"989",3
"990",4
"991",2
"992",9
"993",2
"994",13
"995",2
"996",10
"997",12
"998",8
"999",6
"1000",1
"1001",3
"1002",15
"1003",7
"1004",2
"1005",2
"1006",6
"1007",7
"1008",4
"1009",6
"1010",9
"1011",3
"1012",8
"1013",3
"1014",1
"1015",5
"1016",17
"1017",1
"1018",8
"1019",10
"1020",4
"1021",4
"1022",6
"1023",5
"1024",16
"1025",5
"1026",5
"1027",5
"1028",11
"1029",10
"1030",10
"1031",2
"1032",4
"1033",1
"1034",4
"1035",7
"1036",17
"1037",10
"1038",2
"1039",8
"1040",4
"1041",16
"1042",12
"1043",5
"1044",1
"1045",7
"1046",9
"1047",5
"1048",7
"1049",4
"1050",7
"1051",10
"1052",5
"1053",11
"1054",11
"1055",4
"1056",5
"1057",5
"1058",1
"1059",6
"1060",3
"1061",11
"1062",3
"1063",14
"1064",1
"1065",10
"1066",16
"1067",7
"1068",5
"1069",2
"1070",3
"1071",15
"1072",7
"1073",2
"1074",1
"1075",8
"1076",8
"1077",5
"1078",5
"1079",9
"1080",3
"1081",9
"1082",3
"1083",3
"1084",4
"1085",17
"1086",1
"1087",9
"1088",9
"1089",4
"1090",8
"1091",6
"1092",2
"1093",20
"1094",5
"1095",6
"1096",5
"1097",10
"1098",9
"1099",9
"1100",3
"1101",3
"1102",2
"1103",4
"1104",5
"1105",18
"1106",14
"1107",2
"1108",10
"1109",3
"1110",15
"1111",10
"1112",8
"1113",3
"1114",6
"1115",9
"1116",5
"1117",7
"1118",5
"1119",3
"1120",10
"1121",5
"1122",12
"1123",11
"1124",4
"1125",7
"1126",6
"1127",2
"1128",6
"1129",3
"1130",11
"1131",4
"1132",13
"1133",0
"1134",8
"1135",15
"1136",8
"1137",5
"1138",2
"1139",1
"1140",16
"1141",8
"1142",4
"1143",1
"1144",8
"1145",10
"1146",5
"1147",6
"1148",9
"1149",2
"1150",9
"1151",4
"1152",1
"1153",4
"1154",16
"1155",2
"1156",8
"1157",8
"1158",4
"1159",8
"1160",6
"1161",3
"1162",19
"1163",6
"1164",6
"1165",4
"1166",11
"1167",10
"1168",7
"1169",1
"1170",3
"1171",1
"1172",4
"1173",7
"1174",17
"1175",14
"1176",2
"1177",11
"1178",2
"1179",15
"1180",9
"1181",8
"1182",2
"1183",5
"1184",10
"1185",5
"1186",6
"1187",5
"1188",2
"1189",10
"1190",6
"1191",13
"1192",11
"1193",6
"1194",6
"1195",6
"1196",3
"1197",6
"1198",4
"1199",11
"1200",5
"1201",12
"1202",0
"1203",8
"1204",14
"1205",7
"1206",5
"1207",2
"1208",2
"1209",16
"1210",8
"1211",3
"1212",4
"1213",7
"1214",12
"1215",5
"1216",6
"1217",9
"1218",1
"1219",10
"1220",4
"1221",1
"1222",4
"1223",15
"1224",3
"1225",9
"1226",9
"1227",7
"1228",10
"1229",6
"1230",5
"1231",16
"1232",7
"1233",7
"1234",4
"1235",12
"1236",9
"1237",6
"1238",2
"1239",4
"1240",4
"1241",3
"1242",9
"1243",15
"1244",15
"1245",3
"1246",12
"1247",1
"1248",15
"1249",11
"1250",9
"1251",3
"1252",5
"1253",10
"1254",4
"1255",8
"1256",4
"1257",1
"1258",12
"1259",4
"1260",12
"1261",8
"1262",7
"1263",6
"1264",7
"1265",5
"1266",6
"1267",5
"1268",8
"1269",4
"1270",9
"1271",3
"1272",8
"1273",13
"1274",8
"1275",7
"1276",1
"1277",2
"1278",12
"1279",10
"1280",3
"1281",4
"1282",5
"1283",13
"1284",6
"1285",7
"1286",10
"1287",2
"1288",9
"1289",7
"1290",3
"1291",7
"1292",14
"1293",1
"1294",9
"1295",10
"1296",7
"1297",8
"1298",5
"1299",4
"1300",16
"1301",7
"1302",7
"1303",5
"1304",14
"1305",9
"1306",6
"1307",1
"1308",4
"1309",3
"1310",4
"1311",9
"1312",15
"1313",15
"1314",3
"1315",14
"1316",3
"1317",14
"1318",13
"1319",9
"1320",5
"1321",5
"1322",12
"1323",4
"1324",8
"1325",5
"1326",2
"1327",10
"1328",5
"1329",12
"1330",7
"1331",9
"1332",5
"1333",8
"1334",7
"1335",7
"1336",5
"1337",6
"1338",6
"1339",9
"1340",3
"1341",9
"1342",11
"1343",10
"1344",9
"1345",1
"1346",2
"1347",13
"1348",10
"1349",2
"1350",5
"1351",6
"1352",13
"1353",5
"1354",10
"1355",9
"1356",1
"1357",8
"1358",10
"1359",3
"1360",6
"1361",14
"1362",3
"1363",9
"1364",9
"1365",7
"1366",9
"1367",5
"1368",3
"1369",17
"1370",7
"1371",7
"1372",5
"1373",14
"1374",10
"1375",6
"1376",1
"1377",4
"1378",5
"1379",6
"1380",9
"1381",15
"1382",12
"1383",4
"1384",16
"1385",8
"1386",14
"1387",12
"1388",9
"1389",5
"1390",6
"1391",12
"1392",5
"1393",7
"1394",5
"1395",2
"1396",11
"1397",5
"1398",10
"1399",7
"1400",8
"1401",5
"1402",9
"1403",8
"1404",7
"1405",6
"1406",7
"1407",6
"1408",11
"1409",4
"1410",6
"1411",13
"1412",13
"1413",7
"1414",4
"1415",4
"1416",13
"1417",12
"1418",2
"1419",5
"1420",8
"1421",13
"1422",5
"1423",11
"1424",9
"1425",1
"1426",8
"1427",7
"1428",1
"1429",6
"1430",13
"1431",2
"1432",10
"1433",9
"1434",6
"1435",10
"1436",3
"1437",2
