"","V1","V2"
"1","mu","2.293 (1.99-2.661)"
"2","muShort","0 (0-0)"
"3","sigma","0.328 (0.298-0.36)"
"4","sigma2","0.053 (0.019-0.081)"
"5","tau1","0.001 (0-0.015)"
"6","tau2","0.037 (0.027-0.05)"
"7","wane","1.386 (1.386-1.386)"
