"","V1","V2"
"1","mu","2.12 (2.03-2.34)"
"2","muShort","4.54e-11 (3.65e-11-4.99e-11)"
"3","sigma","0.181 (0.169-0.215)"
"4","sigma2","0.233 (0.125-0.272)"
"5","tau1","0.11 (0.0859-0.144)"
"6","tau2","0.292 (0.123-0.353)"
"7","wane","0.791 (0.695-1.01)"
