"","V1","V2"
"1","mu","1.12 (1.1-1.63)"
"2","muShort","0.305 (0.252-0.813)"
"3","sigma","0.245 (0.219-0.336)"
"4","sigma2","0.118 (0.0863-0.135)"
"5","tau1","0.0568 (0.05-0.0678)"
"6","tau2","0.106 (0.0839-0.128)"
"7","wane","1.87 (1.11-1.96)"
