"","x"
"1",8
"2",6
"3",8
"4",6
"5",4
"6",12
"7",6
"8",3
"9",5
"10",4
"11",1
"12",7
"13",5
"14",8
"15",9
"16",6
"17",3
"18",2
"19",4
"20",6
"21",6
"22",6
"23",8
"24",2
"25",6
"26",8
"27",5
"28",4
"29",3
"30",7
"31",6
"32",7
"33",2
"34",3
"35",13
"36",7
"37",6
"38",7
"39",5
"40",5
"41",4
"42",3
"43",10
"44",6
"45",8
"46",3
"47",6
"48",6
"49",5
"50",5
"51",4
"52",7
"53",7
"54",3
"55",4
"56",3
"57",3
"58",10
"59",6
"60",6
"61",8
"62",4
"63",6
"64",3
"65",4
"66",3
"67",3
"68",3
"69",5
"70",9
"71",7
"72",8
"73",7
"74",4
"75",13
"76",6
"77",3
"78",5
"79",4
"80",1
"81",8
"82",4
"83",8
"84",9
"85",6
"86",3
"87",2
"88",5
"89",5
"90",7
"91",6
"92",7
"93",3
"94",6
"95",7
"96",5
"97",4
"98",5
"99",7
"100",6
"101",8
"102",3
"103",3
"104",13
"105",5
"106",7
"107",7
"108",5
"109",6
"110",4
"111",5
"112",10
"113",8
"114",6
"115",5
"116",6
"117",7
"118",7
"119",6
"120",6
"121",7
"122",7
"123",4
"124",4
"125",4
"126",3
"127",10
"128",7
"129",6
"130",9
"131",4
"132",6
"133",3
"134",5
"135",4
"136",3
"137",4
"138",5
"139",9
"140",8
"141",8
"142",6
"143",4
"144",14
"145",6
"146",3
"147",5
"148",5
"149",2
"150",8
"151",5
"152",8
"153",9
"154",6
"155",4
"156",2
"157",5
"158",5
"159",7
"160",5
"161",7
"162",3
"163",5
"164",8
"165",5
"166",4
"167",4
"168",7
"169",6
"170",8
"171",2
"172",3
"173",13
"174",4
"175",7
"176",7
"177",5
"178",6
"179",4
"180",6
"181",10
"182",8
"183",5
"184",4
"185",6
"186",6
"187",5
"188",6
"189",6
"190",7
"191",8
"192",4
"193",3
"194",4
"195",3
"196",10
"197",8
"198",6
"199",9
"200",5
"201",6
"202",3
"203",5
"204",4
"205",3
"206",4
"207",5
"208",8
"209",9
"210",8
"211",6
"212",3
"213",13
"214",7
"215",3
"216",5
"217",6
"218",2
"219",9
"220",5
"221",7
"222",9
"223",6
"224",3
"225",2
"226",5
"227",5
"228",9
"229",4
"230",7
"231",3
"232",5
"233",8
"234",5
"235",4
"236",3
"237",7
"238",6
"239",8
"240",2
"241",3
"242",13
"243",4
"244",8
"245",6
"246",5
"247",6
"248",4
"249",6
"250",9
"251",8
"252",5
"253",4
"254",6
"255",6
"256",5
"257",5
"258",7
"259",7
"260",8
