"","x"
"640",4
"641",5
"642",7
"643",8
"644",4
"645",5
"646",2
"647",7
"648",5
"649",3
"650",4
"651",4
"652",11
"653",8
"654",10
"655",9
"656",10
"657",5
"658",4
"659",8
"660",3
"661",12
"662",6
"663",4
"664",6
"665",6
"666",7
"667",9
"668",3
"669",4
"670",8
"671",1
"672",4
"673",4
"674",4
"675",4
"676",6
"677",4
"678",7
"679",13
"680",5
"681",4
"682",7
"683",6
"684",6
"685",7
"686",3
"687",4
"688",4
"689",3
"690",8
"691",5
"692",10
"693",8
"694",5
"695",9
"696",3
"697",7
"698",7
"699",7
"700",6
"701",5
"702",1
"703",4
"704",5
"705",7
"706",4
"707",6
"708",3
"709",4
"710",6
"711",8
"712",8
"713",4
"714",5
"715",2
"716",7
"717",5
"718",3
"719",4
"720",4
"721",12
"722",8
"723",10
"724",11
"725",11
"726",5
"727",5
"728",10
"729",3
"730",12
"731",6
"732",4
"733",7
"734",7
"735",7
"736",8
"737",3
"738",6
"739",7
"740",1
"741",5
"742",4
"743",5
"744",4
"745",6
"746",5
"747",7
"748",13
"749",5
"750",4
"751",7
"752",6
"753",6
"754",6
"755",3
"756",4
"757",5
"758",3
"759",9
"760",5
"761",10
"762",8
"763",4
"764",10
"765",3
"766",6
"767",5
"768",7
"769",6
"770",5
"771",1
"772",4
"773",5
"774",7
"775",4
"776",6
"777",3
"778",4
"779",6
"780",8
"781",9
"782",4
"783",5
"784",2
"785",6
"786",5
"787",3
"788",3
"789",4
"790",11
"791",8
"792",10
"793",11
"794",11
"795",5
"796",5
"797",9
"798",3
"799",12
"800",6
"801",4
"802",7
"803",7
"804",8
"805",8
"806",4
"807",6
"808",7
"809",1
"810",5
"811",4
"812",5
"813",4
"814",6
"815",5
"816",7
"817",13
"818",5
"819",4
"820",7
"821",6
"822",6
"823",6
"824",3
"825",5
"826",5
"827",3
"828",9
"829",4
"830",12
"831",9
"832",4
"833",10
"834",3
"835",5
"836",4
"837",7
"838",6
"839",5
"840",1
"841",4
"842",5
"843",8
"844",4
"845",6
"846",3
"847",4
"848",6
"849",9
"850",10
"851",4
"852",6
"853",2
"854",6
"855",5
"856",4
"857",3
"858",4
"859",10
"860",8
"861",9
"862",9
"863",10
"864",5
"865",5
"866",9
"867",3
"868",13
"869",7
"870",4
"871",7
"872",7
"873",9
"874",8
"875",4
"876",6
"877",8
"878",1
"879",5
"880",4
"881",4
"882",4
"883",7
"884",4
"885",7
"886",13
"887",6
"888",4
"889",6
"890",7
"891",6
"892",6
"893",4
"894",5
"895",5
"896",3
"897",9
"898",4
"899",11
"900",9
"901",5
"902",10
"903",3
"904",5
"905",5
"906",7
"907",7
"908",5
"909",1
"910",4
"911",5
"912",8
"913",4
"914",7
"915",3
"916",4
"917",6
"918",10
"919",9
"920",4
"921",6
"922",2
"923",7
"924",5
"925",3
"926",3
"927",4
"928",11
"929",8
"930",8
"931",7
"932",10
"933",5
"934",5
"935",8
"936",3
"937",13
"938",7
"939",4
"940",7
"941",5
"942",8
"943",8
"944",4
"945",6
"946",8
"947",1
"948",5
"949",5
"950",4
"951",4
"952",7
"953",4
"954",7
"955",12
"956",6
"957",4
"958",5
"959",7
"960",6
"961",6
"962",3
"963",5
"964",4
"965",3
"966",8
"967",4
"968",11
"969",9
"970",5
"971",9
"972",3
"973",5
"974",5
"975",8
"976",6
"977",5
"978",1
"979",4
"980",6
"981",8
"982",4
"983",7
"984",4
"985",4
"986",6
"987",10
"988",9
"989",4
"990",6
"991",2
"992",7
"993",6
"994",3
"995",3
"996",5
"997",10
"998",8
"999",9
"1000",7
"1001",10
"1002",6
"1003",5
"1004",9
"1005",3
"1006",12
"1007",7
"1008",5
"1009",7
"1010",5
"1011",7
"1012",8
"1013",5
"1014",6
"1015",8
"1016",1
"1017",5
"1018",5
"1019",4
"1020",4
"1021",7
"1022",4
"1023",7
"1024",12
"1025",6
"1026",5
"1027",5
"1028",6
"1029",7
"1030",6
"1031",3
"1032",5
"1033",4
"1034",3
"1035",8
"1036",4
"1037",12
"1038",9
"1039",5
"1040",9
"1041",3
"1042",4
"1043",4
"1044",8
"1045",6
"1046",5
"1047",1
"1048",5
"1049",6
"1050",8
"1051",4
"1052",7
"1053",4
"1054",4
"1055",5
"1056",10
"1057",8
"1058",4
"1059",6
"1060",2
"1061",7
"1062",5
"1063",3
"1064",3
"1065",5
"1066",10
"1067",8
"1068",8
"1069",6
"1070",10
"1071",6
"1072",5
"1073",10
"1074",3
"1075",13
"1076",6
"1077",5
"1078",7
"1079",6
"1080",7
"1081",8
"1082",5
"1083",6
"1084",8
"1085",1
"1086",5
"1087",5
"1088",5
"1089",4
"1090",7
"1091",4
"1092",7
"1093",10
"1094",6
"1095",5
"1096",4
"1097",6
"1098",7
"1099",6
"1100",3
"1101",5
"1102",5
"1103",3
"1104",9
"1105",4
"1106",12
"1107",9
"1108",5
"1109",9
"1110",3
"1111",4
"1112",4
"1113",8
"1114",6
"1115",6
"1116",1
"1117",5
"1118",5
"1119",8
"1120",5
"1121",7
"1122",4
"1123",3
"1124",5
"1125",10
"1126",8
"1127",4
"1128",6
"1129",2
"1130",7
"1131",5
"1132",3
"1133",3
"1134",5
"1135",9
"1136",8
"1137",8
"1138",6
"1139",10
"1140",6
"1141",5
"1142",9
"1143",3
"1144",13
"1145",6
"1146",5
"1147",7
"1148",5
"1149",6
"1150",8
"1151",5
"1152",6
"1153",8
"1154",1
"1155",5
"1156",5
"1157",5
"1158",4
"1159",7
"1160",4
"1161",8
"1162",11
"1163",6
"1164",4
"1165",5
"1166",4
"1167",7
"1168",6
"1169",3
"1170",5
"1171",5
"1172",3
"1173",9
"1174",4
"1175",13
"1176",9
"1177",5
"1178",9
"1179",3
"1180",4
"1181",4
"1182",7
"1183",6
"1184",6
"1185",1
"1186",5
"1187",5
"1188",8
"1189",5
"1190",7
"1191",4
"1192",3
"1193",5
"1194",10
"1195",8
"1196",4
"1197",6
"1198",2
"1199",7
"1200",5
"1201",3
"1202",3
"1203",5
"1204",9
"1205",8
"1206",8
"1207",7
"1208",10
"1209",5
"1210",5
"1211",9
"1212",4
"1213",12
"1214",6
"1215",5
"1216",8
"1217",5
"1218",6
"1219",8
"1220",5
"1221",7
"1222",8
"1223",2
"1224",5
"1225",5
"1226",5
"1227",2
"1228",7
"1229",5
"1230",8
"1231",10
"1232",6
"1233",5
"1234",4
"1235",5
"1236",7
"1237",6
"1238",3
"1239",5
"1240",5
"1241",4
"1242",8
"1243",4
"1244",14
"1245",9
"1246",5
"1247",8
"1248",4
"1249",4
"1250",4
"1251",7
"1252",7
"1253",6
"1254",1
"1255",5
"1256",5
"1257",7
"1258",4
"1259",7
"1260",3
"1261",5
"1262",5
"1263",10
"1264",8
"1265",4
"1266",5
"1267",2
"1268",7
"1269",6
"1270",3
"1271",3
"1272",5
"1273",9
"1274",9
"1275",8
"1276",7
"1277",10
"1278",5
"1279",5
"1280",9
"1281",4
"1282",10
"1283",6
"1284",5
"1285",8
"1286",5
"1287",6
"1288",8
"1289",6
"1290",7
"1291",8
"1292",2
"1293",5
"1294",5
"1295",5
"1296",2
"1297",7
"1298",5
"1299",8
"1300",10
"1301",6
"1302",5
"1303",4
"1304",4
"1305",7
"1306",6
"1307",4
"1308",5
"1309",5
"1310",4
"1311",7
"1312",4
"1313",14
"1314",9
"1315",5
"1316",8
"1317",4
"1318",5
"1319",5
"1320",7
"1321",7
"1322",6
"1323",1
"1324",5
"1325",5
"1326",7
"1327",5
"1328",8
"1329",3
"1330",5
"1331",5
"1332",10
"1333",10
"1334",4
"1335",6
"1336",2
"1337",7
"1338",6
"1339",2
"1340",3
"1341",5
"1342",8
"1343",9
"1344",9
"1345",7
"1346",10
"1347",5
"1348",5
"1349",8
"1350",4
"1351",10
"1352",6
"1353",5
"1354",8
"1355",6
"1356",7
"1357",8
"1358",6
"1359",6
"1360",8
"1361",2
"1362",5
"1363",5
"1364",5
"1365",2
"1366",7
"1367",5
"1368",8
"1369",10
"1370",6
"1371",6
"1372",5
"1373",5
"1374",7
"1375",6
"1376",4
"1377",5
"1378",6
"1379",4
"1380",7
"1381",4
"1382",14
"1383",9
"1384",5
"1385",8
"1386",5
"1387",5
"1388",6
"1389",7
"1390",7
"1391",7
"1392",1
"1393",5
"1394",5
"1395",8
"1396",5
"1397",8
"1398",4
"1399",5
"1400",5
"1401",9
"1402",10
"1403",4
"1404",5
"1405",3
"1406",7
"1407",6
"1408",2
"1409",3
"1410",5
"1411",8
"1412",9
"1413",9
"1414",7
"1415",9
"1416",5
"1417",5
"1418",8
"1419",4
"1420",10
"1421",6
"1422",5
"1423",9
"1424",6
"1425",7
"1426",8
"1427",5
"1428",5
"1429",8
"1430",2
"1431",5
"1432",5
"1433",5
"1434",3
"1435",7
"1436",5
"1437",8
"1438",11
"1439",6
"1440",7
"1441",5
"1442",5
"1443",7
"1444",6
"1445",4
"1446",5
"1447",6
"1448",4
"1449",6
"1450",4
"1451",14
"1452",9
"1453",4
"1454",10
"1455",5
"1456",5
"1457",7
"1458",8
"1459",7
"1460",6
"1461",1
"1462",5
"1463",5
"1464",8
"1465",5
"1466",8
"1467",3
"1468",5
"1469",5
"1470",10
"1471",10
"1472",5
"1473",5
"1474",3
"1475",7
"1476",6
"1477",2
"1478",3
"1479",6
"1480",9
"1481",9
"1482",8
"1483",8
"1484",9
"1485",5
"1486",5
"1487",7
"1488",4
"1489",10
"1490",6
"1491",5
"1492",9
"1493",6
"1494",6
"1495",8
"1496",5
"1497",5
"1498",8
"1499",1
"1500",5
"1501",5
"1502",5
"1503",3
"1504",7
"1505",5
"1506",7
"1507",11
"1508",5
"1509",7
"1510",5
"1511",5
"1512",7
"1513",6
"1514",4
"1515",5
"1516",6
"1517",3
"1518",6
"1519",4
"1520",15
"1521",9
"1522",4
"1523",10
"1524",5
"1525",5
"1526",7
"1527",8
"1528",7
"1529",6
"1530",1
"1531",5
"1532",5
"1533",8
"1534",5
"1535",9
"1536",3
"1537",5
"1538",5
"1539",10
"1540",10
"1541",5
"1542",5
"1543",3
"1544",7
"1545",7
"1546",2
"1547",3
"1548",5
"1549",8
"1550",9
"1551",8
"1552",7
"1553",9
"1554",5
"1555",5
"1556",7
"1557",5
"1558",9
"1559",6
"1560",6
"1561",9
"1562",6
"1563",6
"1564",8
"1565",5
"1566",6
"1567",8
"1568",1
"1569",6
"1570",5
"1571",5
"1572",3
"1573",7
"1574",5
"1575",8
"1576",11
"1577",5
"1578",8
"1579",5
"1580",5
"1581",7
"1582",6
"1583",3
"1584",5
"1585",7
"1586",4
"1587",6
"1588",4
"1589",14
"1590",9
"1591",4
"1592",10
"1593",5
"1594",5
"1595",7
"1596",8
"1597",7
"1598",6
"1599",1
"1600",5
"1601",5
"1602",8
"1603",5
"1604",9
"1605",3
"1606",7
"1607",5
"1608",9
"1609",10
"1610",5
"1611",5
"1612",3
"1613",7
"1614",7
"1615",3
"1616",3
"1617",5
"1618",8
"1619",9
"1620",7
"1621",7
"1622",9
"1623",5
"1624",5
"1625",6
"1626",5
"1627",9
"1628",6
"1629",6
"1630",10
"1631",6
"1632",6
"1633",8
"1634",5
"1635",6
"1636",8
"1637",1
"1638",6
"1639",5
"1640",5
"1641",2
"1642",7
"1643",4
"1644",9
"1645",11
"1646",5
"1647",9
"1648",5
"1649",5
"1650",7
"1651",6
"1652",3
"1653",5
"1654",7
"1655",4
"1656",6
"1657",4
"1658",14
"1659",9
"1660",4
"1661",11
"1662",3
"1663",5
"1664",6
"1665",8
"1666",7
"1667",6
"1668",1
"1669",5
"1670",5
"1671",8
"1672",5
"1673",9
"1674",3
"1675",7
"1676",6
"1677",9
"1678",10
"1679",5
"1680",6
"1681",3
"1682",7
"1683",7
"1684",2
"1685",4
"1686",5
"1687",8
"1688",9
"1689",7
"1690",7
"1691",9
"1692",5
"1693",5
"1694",6
"1695",5
"1696",9
"1697",6
"1698",6
"1699",10
"1700",6
"1701",6
"1702",8
"1703",5
"1704",6
"1705",8
"1706",1
"1707",6
"1708",5
"1709",5
"1710",2
"1711",7
"1712",4
"1713",9
"1714",11
"1715",5
"1716",9
"1717",5
"1718",4
"1719",7
"1720",6
"1721",3
"1722",5
"1723",7
"1724",4
"1725",6
"1726",4
"1727",14
"1728",9
"1729",5
"1730",11
"1731",3
"1732",5
"1733",5
"1734",8
"1735",7
"1736",6
"1737",1
"1738",5
"1739",5
"1740",8
"1741",5
"1742",8
"1743",4
"1744",7
"1745",6
"1746",9
"1747",9
"1748",5
"1749",6
"1750",3
"1751",7
"1752",6
"1753",2
"1754",4
"1755",5
"1756",9
"1757",9
"1758",7
"1759",7
"1760",9
"1761",6
"1762",6
"1763",6
"1764",5
"1765",9
"1766",6
"1767",6
"1768",9
"1769",6
"1770",6
"1771",8
"1772",5
"1773",6
"1774",9
"1775",1
"1776",7
"1777",5
"1778",5
"1779",3
"1780",7
"1781",4
"1782",8
"1783",11
"1784",5
"1785",10
"1786",5
"1787",4
"1788",7
"1789",6
"1790",3
"1791",5
"1792",6
"1793",4
"1794",6
"1795",4
"1796",14
"1797",9
"1798",5
"1799",11
"1800",4
"1801",5
"1802",5
"1803",8
"1804",7
"1805",6
"1806",1
"1807",5
"1808",6
"1809",8
"1810",6
"1811",8
"1812",4
"1813",6
"1814",5
"1815",9
"1816",9
"1817",5
"1818",6
"1819",3
"1820",7
"1821",6
"1822",3
"1823",4
"1824",5
"1825",8
"1826",9
"1827",7
"1828",7
"1829",9
"1830",6
"1831",6
"1832",6
"1833",5
"1834",9
"1835",6
"1836",6
"1837",9
"1838",6
"1839",6
"1840",8
"1841",5
"1842",6
"1843",9
"1844",1
"1845",6
"1846",6
"1847",5
"1848",3
"1849",7
"1850",4
"1851",8
"1852",11
"1853",6
"1854",11
"1855",5
"1856",4
"1857",7
"1858",6
"1859",3
"1860",5
"1861",5
"1862",4
"1863",7
"1864",4
"1865",14
"1866",9
"1867",5
"1868",13
"1869",5
"1870",5
"1871",5
"1872",8
"1873",7
"1874",6
"1875",1
"1876",5
"1877",6
"1878",8
"1879",6
"1880",8
"1881",4
"1882",6
"1883",5
"1884",9
"1885",10
"1886",5
"1887",6
"1888",3
"1889",7
"1890",6
"1891",3
"1892",4
"1893",5
"1894",8
"1895",9
"1896",7
"1897",8
"1898",9
"1899",5
"1900",6
"1901",6
"1902",5
"1903",9
"1904",6
"1905",6
"1906",9
"1907",5
"1908",6
"1909",8
"1910",6
"1911",6
"1912",9
"1913",1
"1914",7
"1915",6
"1916",5
"1917",3
"1918",7
"1919",5
"1920",6
"1921",11
"1922",6
"1923",10
"1924",5
"1925",4
"1926",7
"1927",6
"1928",3
"1929",5
"1930",5
"1931",4
"1932",8
"1933",4
"1934",13
"1935",8
"1936",5
"1937",13
"1938",5
"1939",5
"1940",4
"1941",8
"1942",7
"1943",7
"1944",1
"1945",5
"1946",6
"1947",8
"1948",5
"1949",7
"1950",4
"1951",6
"1952",6
"1953",9
"1954",10
"1955",5
"1956",6
"1957",3
"1958",8
"1959",6
"1960",3
"1961",6
"1962",5
"1963",8
"1964",9
"1965",6
"1966",8
"1967",10
"1968",5
"1969",6
"1970",6
"1971",5
"1972",9
"1973",7
"1974",6
"1975",9
"1976",5
"1977",6
"1978",8
"1979",6
"1980",6
"1981",8
"1982",2
"1983",7
"1984",6
"1985",5
"1986",3
"1987",7
"1988",5
"1989",6
"1990",12
"1991",6
"1992",10
"1993",5
"1994",5
"1995",7
"1996",6
"1997",3
"1998",5
"1999",5
"2000",4
"2001",8
"2002",4
"2003",13
"2004",8
"2005",5
"2006",13
"2007",5
"2008",5
"2009",4
"2010",8
"2011",7
"2012",8
"2013",1
"2014",5
"2015",6
"2016",8
"2017",5
"2018",7
"2019",4
"2020",6
"2021",6
"2022",9
"2023",10
"2024",5
"2025",6
"2026",2
"2027",8
"2028",6
"2029",4
"2030",6
"2031",5
"2032",8
"2033",9
"2034",8
"2035",8
"2036",10
"2037",5
"2038",6
"2039",6
"2040",5
"2041",8
"2042",7
"2043",6
"2044",9
"2045",5
"2046",5
"2047",8
"2048",6
"2049",6
"2050",8
"2051",1
"2052",6
"2053",6
"2054",5
"2055",4
"2056",7
"2057",5
"2058",5
"2059",12
"2060",5
"2061",10
"2062",5
"2063",5
"2064",7
"2065",6
"2066",3
"2067",5
"2068",5
"2069",4
"2070",8
"2071",4
"2072",11
"2073",8
"2074",5
"2075",12
"2076",5
"2077",5
"2078",4
"2079",8
"2080",7
"2081",8
"2082",1
"2083",5
"2084",6
"2085",8
"2086",5
"2087",7
"2088",5
"2089",6
"2090",6
"2091",9
"2092",10
"2093",5
"2094",6
"2095",3
"2096",8
"2097",6
"2098",4
"2099",5
"2100",5
"2101",8
"2102",9
"2103",8
"2104",10
"2105",11
"2106",5
"2107",5
"2108",6
"2109",5
"2110",8
"2111",7
"2112",6
"2113",9
"2114",5
"2115",5
"2116",8
"2117",6
"2118",6
"2119",8
"2120",1
"2121",6
"2122",6
"2123",5
"2124",2
"2125",7
"2126",5
"2127",6
"2128",12
"2129",5
"2130",9
"2131",5
"2132",6
"2133",7
"2134",6
"2135",3
"2136",5
"2137",5
"2138",4
"2139",8
"2140",4
"2141",11
"2142",8
"2143",5
"2144",12
"2145",5
"2146",7
"2147",4
"2148",8
"2149",7
"2150",8
"2151",1
"2152",5
"2153",5
"2154",8
"2155",5
"2156",7
"2157",5
"2158",6
"2159",6
"2160",9
"2161",10
"2162",5
"2163",6
"2164",4
"2165",8
"2166",7
"2167",3
"2168",5
"2169",5
"2170",7
"2171",9
"2172",9
"2173",9
"2174",11
"2175",5
"2176",5
"2177",6
"2178",5
"2179",8
"2180",7
"2181",6
"2182",9
"2183",5
"2184",5
"2185",8
"2186",5
"2187",6
"2188",8
"2189",1
"2190",6
"2191",6
"2192",5
"2193",2
"2194",7
"2195",5
"2196",5
"2197",12
"2198",5
"2199",9
"2200",5
"2201",6
"2202",7
"2203",6
"2204",3
"2205",5
"2206",5
"2207",4
"2208",8
"2209",5
"2210",12
"2211",8
"2212",5
"2213",13
"2214",5
"2215",7
"2216",4
"2217",8
"2218",8
"2219",8
"2220",1
"2221",5
"2222",5
"2223",8
"2224",6
"2225",7
"2226",5
"2227",6
"2228",6
"2229",9
"2230",10
"2231",5
"2232",6
"2233",3
"2234",8
"2235",7
"2236",3
"2237",5
"2238",5
"2239",7
"2240",9
"2241",9
"2242",10
"2243",11
"2244",5
"2245",5
"2246",6
"2247",5
"2248",8
"2249",7
"2250",6
"2251",9
"2252",5
"2253",5
"2254",7
"2255",5
"2256",6
"2257",8
"2258",1
"2259",6
"2260",6
"2261",5
"2262",2
"2263",7
"2264",4
"2265",5
"2266",12
"2267",7
"2268",9
"2269",5
"2270",6
"2271",7
"2272",6
"2273",3
"2274",5
"2275",5
"2276",4
"2277",8
"2278",5
"2279",12
"2280",8
"2281",5
"2282",13
"2283",5
"2284",8
"2285",4
"2286",8
"2287",7
"2288",10
"2289",1
"2290",6
"2291",5
"2292",8
"2293",5
"2294",8
"2295",5
"2296",6
"2297",6
"2298",9
"2299",11
"2300",5
"2301",6
"2302",3
"2303",8
"2304",7
"2305",3
"2306",6
"2307",5
"2308",7
"2309",9
"2310",8
"2311",10
"2312",11
"2313",5
"2314",5
"2315",7
"2316",6
"2317",9
"2318",7
"2319",6
"2320",10
"2321",5
"2322",5
"2323",7
"2324",5
"2325",6
"2326",8
"2327",1
"2328",7
"2329",5
"2330",5
"2331",2
"2332",7
"2333",4
"2334",5
"2335",12
"2336",7
"2337",8
"2338",5
"2339",5
"2340",6
"2341",6
"2342",3
"2343",5
"2344",5
"2345",4
"2346",8
"2347",5
"2348",12
"2349",8
"2350",5
"2351",13
"2352",5
"2353",7
"2354",4
"2355",8
"2356",7
"2357",10
"2358",1
"2359",6
"2360",6
"2361",8
"2362",5
"2363",7
"2364",5
"2365",6
"2366",5
"2367",9
