"","V1","V2","V3"
"1","mu","1.01 (0.888-1.15)","282"
"2","muShort","1e-10 (1e-10-1e-10)","0"
"3","sigma","0.0969 (0.0833-0.112)","207"
"4","sigma2","0.0969 (0.0833-0.112)","207"
"5","error","1.49 (1.41-1.58)","902"
"6","tau2","0.0234 (0.0173-0.031)","164"
"7","wane","0.437 (0.437-0.437)","0"
"8","sigmadrop","0.0971 (0.0758-0.126)","207"
"9","sigma2drop","9.69e-12 (8.33e-12-1.12e-11)","207"
"10","wane_yr","4.37e-11 (4.37e-11-4.37e-11)","0"
"11","errorCorrect1","0.475 (0.454-0.496)","902"
"12","errorCorrect2","0.797 (0.773-0.819)","902"
