"","V1","V2"
"1","mu","2.697 (2.409-3.032)"
"2","muShort","0 (0-0)"
"3","sigma","0.317 (0.287-0.347)"
"4","sigma2","0.183 (0.054-0.493)"
"5","tau1","0.001 (0-0.002)"
"6","tau2","0.07 (0.05-0.089)"
"7","wane","1.386 (1.386-1.386)"
