"","V1","V2","V3"
"1","mu","1.71 (1.63-1.78)","4.29"
"2","muShort","2.23 (1.68-2.48)","1.95"
"3","sigma","0.131 (0.128-0.134)","23.1"
"4","sigma2","0.0297 (0.028-0.0309)","11.9"
"5","error","1.32 (1.3-1.4)","7.93"
"6","tau2","0.0383 (0.0362-0.0441)","3.57"
"7","wane","0.696 (0.625-0.749)","2.53"
"8","sigmadrop","0.225 (0.211-0.235)","23.1"
"9","sigma2drop","0.0665 (0.0477-0.0768)","11.9"
"10","wane_yr","1.53 (1.05-1.8)","2.53"
"11","errorCorrect1","0.518 (0.497-0.527)","7.93"
"12","errorCorrect2","0.842 (0.82-0.85)","7.93"
