"","V1","V2"
"1","mu","2.855 (2.139-3.303)"
"2","muShort","0 (0-0)"
"3","sigma","0.267 (0.245-0.291)"
"4","sigma2","0.035 (0.014-0.117)"
"5","tau1","0.001 (0-0.003)"
"6","tau2","0.056 (0.017-0.067)"
"7","wane","1.386 (1.386-1.386)"
