"","V1","V2"
"1","mu","2.67 (2.364-3.068)"
"2","muShort","0 (0-0)"
"3","sigma","0.349 (0.315-0.385)"
"4","sigma2","0.074 (0.037-0.169)"
"5","tau1","0.001 (0-0.004)"
"6","tau2","0.049 (0.042-0.066)"
"7","wane","1.386 (1.386-1.386)"
