"","V1","V2"
"1","mu","2.53 (2.53-2.53)"
"2","muShort","2.5e-11 (2.5e-11-2.5e-11)"
"3","sigma","0.291 (0.291-0.291)"
"4","sigma2","0.088 (0.088-0.088)"
"5","tau1","0.0486 (0.0486-0.0486)"
"6","tau2","0.0958 (0.0958-0.0958)"
"7","wane","1.39 (1.39-1.39)"
