"","V1","V2"
"1","mu","2.532 (2.212-2.759)"
"2","muShort","0 (0-0)"
"3","sigma","0.349 (0.312-0.396)"
"4","sigma2","0.005 (0.003-0.014)"
"5","tau1","0.004 (0.002-0.007)"
"6","tau2","0.043 (0.035-0.05)"
"7","wane","1.386 (1.386-1.386)"
