"","x"
"1",11
"2",6
"3",3
"4",3
"5",5
"6",8
"7",9
"8",6
"9",6
"10",10
"11",7
"12",3
"13",8
"14",3
"15",8
"16",3
"17",6
"18",7
"19",2
"20",5
"21",8
"22",5
"23",2
"24",9
"25",4
"26",4
"27",8
"28",7
"29",9
"30",8
"31",5
"32",6
"33",6
"34",5
"35",3
"36",5
"37",3
"38",6
"39",4
"40",8
"41",4
"42",6
"43",9
"44",5
"45",4
"46",6
"47",9
"48",5
"49",3
"50",7
"51",6
"52",2
"53",6
"54",5
"55",6
"56",7
"57",3
"58",9
"59",4
"60",10
"61",1
"62",6
"63",5
"64",3
"65",4
"66",7
"67",12
"68",5
"69",8
"70",11
"71",6
"72",3
"73",3
"74",6
"75",7
"76",10
"77",6
"78",6
"79",10
"80",9
"81",4
"82",9
"83",3
"84",8
"85",5
"86",5
"87",7
"88",2
"89",7
"90",9
"91",5
"92",2
"93",8
"94",4
"95",4
"96",8
"97",7
"98",8
"99",8
"100",5
"101",5
"102",7
"103",5
"104",3
"105",6
"106",3
"107",8
"108",4
"109",8
"110",4
"111",6
"112",9
"113",6
"114",3
"115",6
"116",7
"117",5
"118",3
"119",7
"120",6
"121",2
"122",7
"123",5
"124",5
"125",6
"126",4
"127",9
"128",4
"129",10
"130",1
"131",6
"132",5
"133",3
"134",5
"135",7
"136",13
"137",5
"138",9
"139",10
"140",6
"141",3
"142",3
"143",6
"144",8
"145",11
"146",8
"147",6
"148",11
"149",10
"150",4
"151",9
"152",3
"153",8
"154",5
"155",5
"156",7
"157",2
"158",7
"159",9
"160",5
"161",3
"162",8
"163",5
"164",6
"165",8
"166",7
"167",9
"168",8
"169",5
"170",5
"171",8
"172",5
"173",3
"174",4
"175",3
"176",8
"177",4
"178",7
"179",4
"180",7
"181",9
"182",6
"183",3
"184",7
"185",7
"186",6
"187",3
"188",7
"189",6
"190",1
"191",7
"192",5
"193",5
"194",4
"195",4
"196",9
"197",6
"198",10
"199",1
"200",6
"201",6
"202",2
"203",6
"204",9
"205",13
"206",5
"207",10
"208",11
"209",7
"210",4
"211",3
"212",6
"213",8
"214",11
"215",8
"216",7
"217",11
"218",10
"219",5
"220",9
"221",4
"222",7
"223",4
"224",6
"225",7
"226",2
"227",10
"228",9
"229",6
"230",4
"231",8
"232",4
"233",7
"234",8
"235",7
"236",8
"237",9
"238",5
"239",6
"240",8
"241",5
"242",3
"243",4
"244",3
"245",9
"246",3
"247",8
"248",4
"249",7
"250",9
"251",6
"252",3
"253",7
"254",7
"255",5
"256",2
"257",7
"258",6
"259",3
"260",8
"261",6
"262",5
"263",3
"264",4
"265",8
"266",7
"267",9
"268",1
"269",6
"270",5
"271",2
"272",6
"273",10
"274",12
"275",4
"276",8
"277",11
"278",8
"279",4
"280",5
"281",6
"282",8
"283",11
"284",8
"285",7
"286",11
"287",10
"288",6
"289",8
"290",4
"291",7
"292",4
"293",6
"294",7
"295",3
"296",10
"297",9
"298",5
"299",4
"300",8
"301",4
"302",7
"303",8
"304",8
"305",8
"306",8
"307",5
"308",8
"309",8
"310",5
"311",3
"312",5
"313",3
"314",9
"315",5
"316",10
"317",4
"318",6
"319",9
"320",4
"321",2
"322",7
"323",7
"324",5
"325",2
"326",7
"327",7
"328",3
"329",8
"330",8
"331",5
"332",3
"333",5
"334",8
"335",7
"336",9
"337",1
"338",6
"339",5
"340",1
"341",5
"342",9
"343",12
"344",5
"345",7
"346",11
"347",8
"348",4
"349",6
"350",7
"351",6
"352",10
"353",8
"354",6
"355",11
"356",10
"357",6
"358",8
"359",3
"360",6
"361",4
"362",5
"363",7
"364",3
"365",9
"366",9
"367",6
"368",6
"369",8
"370",5
"371",6
"372",8
"373",9
"374",9
"375",7
"376",6
"377",8
"378",9
"379",5
"380",3
"381",5
"382",4
"383",9
"384",3
"385",10
"386",4
"387",6
"388",9
"389",4
"390",3
"391",7
"392",7
"393",5
"394",3
"395",6
"396",7
"397",2
"398",8
"399",8
"400",5
"401",3
"402",5
"403",8
"404",8
"405",9
"406",1
"407",6
"408",5
"409",2
"410",4
"411",11
"412",13
"413",6
"414",6
"415",10
"416",6
"417",3
"418",6
"419",6
"420",5
"421",11
"422",7
"423",6
"424",11
"425",10
"426",7
"427",8
"428",3
"429",7
"430",4
"431",5
"432",6
"433",3
"434",9
"435",9
"436",5
"437",5
"438",8
"439",5
"440",7
"441",9
"442",9
"443",9
"444",7
"445",6
"446",6
"447",10
"448",5
"449",4
"450",6
"451",5
"452",8
"453",6
"454",10
"455",4
"456",6
"457",9
"458",4
"459",2
"460",8
"461",7
"462",5
"463",3
"464",6
"465",6
"466",2
"467",8
"468",8
"469",5
"470",3
"471",5
"472",9
"473",9
"474",10
"475",3
"476",6
"477",4
"478",2
"479",4
"480",11
"481",12
"482",5
"483",6
"484",10
"485",7
"486",4
"487",6
"488",6
"489",5
"490",12
"491",8
"492",6
"493",11
"494",11
"495",7
"496",8
"497",4
"498",7
"499",5
"500",6
"501",6
"502",2
"503",10
"504",9
"505",5
"506",6
"507",8
"508",4
"509",7
"510",7
"511",9
"512",9
"513",7
"514",6
"515",6
"516",9
"517",5
"518",4
"519",6
"520",4
"521",8
"522",5
"523",11
"524",5
"525",6
"526",9
"527",4
"528",3
"529",8
"530",7
"531",4
"532",3
"533",7
"534",5
"535",1
"536",9
"537",8
"538",4
"539",3
"540",5
"541",10
"542",9
"543",10
"544",1
"545",6
"546",4
"547",3
"548",4
"549",11
"550",13
"551",6
"552",7
"553",10
"554",8
"555",6
"556",6
"557",7
"558",5
"559",12
"560",8
"561",6
"562",12
"563",11
"564",6
"565",9
"566",3
"567",7
"568",7
"569",6
"570",7
"571",2
"572",12
"573",9
"574",6
"575",6
"576",8
"577",4
"578",8
"579",6
"580",10
"581",10
"582",6
"583",6
"584",6
"585",9
"586",5
"587",3
"588",5
"589",4
"590",9
"591",5
"592",11
"593",5
"594",8
"595",8
"596",4
"597",3
"598",8
"599",6
"600",5
"601",3
"602",7
"603",4
"604",1
"605",10
"606",8
"607",4
"608",2
"609",4
"610",10
"611",8
"612",10
"613",1
"614",6
"615",4
"616",2
"617",5
"618",11
"619",13
"620",5
"621",7
"622",11
"623",8
"624",5
"625",6
"626",7
"627",6
"628",12
"629",8
"630",6
"631",12
"632",11
"633",6
"634",8
"635",3
"636",7
"637",7
"638",6
"639",7
"640",2
"641",13
"642",8
"643",6
"644",7
"645",8
"646",6
"647",9
"648",7
"649",9
"650",9
"651",6
"652",7
"653",5
"654",9
"655",6
"656",3
"657",5
"658",4
"659",8
"660",6
"661",11
"662",5
"663",8
"664",8
"665",4
"666",2
"667",8
"668",7
"669",5
"670",3
"671",7
"672",5
"673",2
"674",10
"675",8
"676",4
"677",3
"678",4
"679",11
"680",8
"681",10
"682",1
"683",7
"684",4
"685",2
"686",4
"687",12
"688",13
"689",4
"690",7
"691",9
"692",7
"693",5
"694",6
"695",10
"696",7
"697",12
"698",7
"699",6
"700",12
"701",11
"702",6
"703",9
"704",4
"705",7
"706",7
"707",6
"708",6
"709",2
"710",13
"711",8
"712",6
"713",7
"714",8
"715",7
"716",10
"717",7
"718",9
"719",10
"720",7
"721",7
"722",4
"723",9
"724",7
"725",3
"726",5
"727",5
"728",7
"729",6
"730",12
"731",5
"732",7
"733",9
"734",4
"735",2
"736",10
"737",8
"738",5
"739",3
"740",7
"741",6
"742",1
"743",10
"744",8
"745",4
"746",3
"747",4
"748",11
"749",11
"750",10
"751",2
"752",7
"753",4
"754",3
"755",4
"756",12
"757",13
"758",5
"759",7
"760",11
"761",6
"762",4
"763",5
"764",9
"765",7
"766",12
"767",7
"768",7
"769",12
"770",11
"771",6
"772",9
"773",5
"774",6
"775",7
"776",6
"777",5
"778",2
"779",11
"780",9
"781",5
"782",7
"783",7
"784",5
"785",10
"786",7
"787",9
"788",11
"789",8
"790",8
"791",4
"792",10
"793",7
"794",4
"795",6
"796",6
"797",7
"798",7
"799",13
"800",5
"801",8
"802",10
"803",4
"804",2
"805",10
"806",8
"807",5
"808",3
"809",7
"810",6
"811",2
"812",10
"813",9
"814",4
"815",5
"816",4
"817",11
"818",10
"819",10
"820",2
"821",6
"822",4
"823",3
"824",5
"825",12
"826",14
"827",6
"828",7
"829",10
"830",7
"831",5
"832",4
"833",9
"834",7
"835",13
"836",7
"837",7
"838",11
"839",10
"840",5
"841",10
"842",4
"843",7
"844",8
"845",7
"846",5
"847",3
"848",11
"849",9
"850",6
"851",8
"852",6
"853",4
"854",10
"855",7
"856",9
"857",11
"858",7
"859",9
"860",4
"861",12
"862",7
"863",4
