"","V1","V2","V3"
"1","mu","1.84 (1.82-1.96)","1.49"
"2","muShort","2.78 (2.75-2.98)","5.04"
"3","sigma","0.235 (0.223-0.25)","7.94"
"4","sigma2","0.443 (0.335-0.564)","1.69"
"5","error","1.09 (1.06-1.35)","2.21"
"6","tau2","0.0874 (0.0751-0.108)","3.53"
"7","wane","0.701 (0.663-0.718)","4.76"
"8","sigmadrop","0.437 (0.416-0.489)","7.94"
"9","sigma2drop","1.22 (0.924-1.65)","1.69"
"10","wane_yr","1.96 (1.82-2.11)","4.76"
"11","errorCorrect1","0.354 (0.289-0.363)","2.21"
"12","errorCorrect2","0.832 (0.733-0.844)","2.21"
