"","V1","V2"
"1","mu","3.09 (2.71-3.09)"
"2","muShort","3.13 (2.85-3.14)"
"3","sigma","0.343 (0.309-0.343)"
"4","sigma2","0.157 (0.124-0.157)"
"5","tau1","0.0284 (0.0238-0.0311)"
"6","tau2","0.102 (0.101-0.112)"
"7","wane","0.738 (0.738-0.936)"
