"","V1","V2"
"1","mu","2.338 (2.04-2.807)"
"2","muShort","0 (0-0)"
"3","sigma","0.299 (0.26-0.324)"
"4","sigma2","0.04 (0.005-0.085)"
"5","tau1","0.004 (0.001-0.01)"
"6","tau2","0.049 (0.043-0.064)"
"7","wane","1.386 (1.386-1.386)"
