"","xx","yy"
"1",333.83,254.921722063961
"2",334.658409090909,254.065258367484
"3",335.486818181818,253.250964472377
"4",336.315227272727,252.49067262909
"5",337.143636363636,251.7810516666
"6",337.972045454545,251.118643154907
"7",338.800454545454,250.499988664007
"8",339.628863636364,249.921864247839
"9",340.457272727273,249.414304836124
"10",341.285681818182,249.074749785469
"11",342.114090909091,248.996582324819
"12",342.9425,249.181716000777
"13",343.770909090909,249.590574282887
"14",344.599318181818,250.183374130278
"15",345.427727272727,250.92033250208
"16",346.256136363636,251.761666357422
"17",347.084545454545,252.665372864866
"18",347.912954545455,253.55726950805
"19",348.741363636364,254.338920667658
"20",349.569772727273,254.91129609892
"21",350.398181818182,255.168882173542
"22",351.226590909091,254.970037009341
"23",352.055,254.385150191107
"24",352.883409090909,253.535421587172
"25",353.711818181818,252.51417257187
"26",354.540227272727,251.476741786377
"27",355.368636363636,250.505658332767
"28",356.197045454545,249.651524534688
"29",357.025454545455,248.95752824514
"30",357.853863636363,248.466847132187
"31",358.682272727273,248.222716081334
"32",359.510681818182,248.287186688713
"33",360.339090909091,248.792665077447
"34",361.1675,249.767128351399
"35",361.995909090909,250.98079256175
"36",362.824318181818,251.969402244482
"37",363.652727272727,252.426483614042
"38",364.481136363636,252.420763977513
"39",365.309545454545,252.145576671869
"40",366.137954545454,251.756907609759
"41",366.966363636364,251.299327191316
"42",367.794772727273,250.786665789971
"43",368.623181818182,250.268102228482
"44",369.451590909091,249.743749990033
"45",370.28,249.120275993058
